Step,Action,Reward,Portfolio Value
0,2,0.0,10000.0
1,2,0.0,10000.0
2,2,0.0,10000.0
3,2,0.0,10000.0
4,2,0.0,10000.0
5,1,0.0,10000.0
6,0,212.16015625,10212.16015625
7,2,-136.9599609375,10075.2001953125
8,2,-42.8798828125,10032.3203125
9,0,124.7998046875,10157.1201171875
10,2,111.6806640625,10268.80078125
11,0,-69.1201171875,10199.6806640625
12,0,36.16015625,10235.8408203125
13,1,0.0,10235.8408203125
14,0,-29.4404296875,10206.400390625
15,2,-299.51953125,9906.880859375
16,2,279.6796875,10186.560546875
17,2,212.7998046875,10399.3603515625
18,2,-15.0400390625,10384.3203125
19,1,0.0,10384.3203125
20,2,0.0,10384.3203125
21,2,0.0,10384.3203125
22,0,84.50019836425781,10468.820510864258
23,2,122.19932556152344,10591.019836425781
24,2,-168.34976196289062,10422.67007446289
25,2,49.39964294433594,10472.069717407227
26,2,-63.050079345703125,10409.019638061523
27,1,0.0,10409.019638061523
28,2,0.0,10409.019638061523
29,2,0.0,10409.019638061523
30,1,0.0,10409.019638061523
31,0,150.14984130859375,10559.169479370117
32,1,0.0,10559.169479370117
33,0,-237.4375,10321.731979370117
34,2,-486.9923400878906,9834.739639282227
35,0,-330.7751998901367,9503.96443939209
36,0,149.66773986816406,9653.632179260254
37,2,-626.5076599121094,9027.124519348145
38,2,-5.240119934082031,9021.884399414062
39,1,0.0,9021.884399414062
40,1,0.0,9021.884399414062
41,1,0.0,9021.884399414062
42,1,0.0,9021.884399414062
43,2,0.0,9021.884399414062
44,2,0.0,9021.884399414062
45,0,646.9869232177734,9668.871322631836
46,1,0.0,9668.871322631836
47,1,0.0,9668.871322631836
48,2,0.0,9668.871322631836
49,2,0.0,9668.871322631836
50,0,423.3372573852539,10092.20858001709
51,1,0.0,10092.20858001709
52,0,-77.01747512817383,10015.191104888916
53,1,0.0,10015.191104888916
54,1,0.0,10015.191104888916
55,1,0.0,10015.191104888916
56,2,0.0,10015.191104888916
57,1,0.0,10015.191104888916
58,1,0.0,10015.191104888916
59,0,284.5671806335449,10299.758285522461
60,2,-20.930171966552734,10278.828113555908
61,2,-538.5445823669434,9740.283531188965
62,1,0.0,9740.283531188965
63,0,-139.91956329345703,9600.363967895508
64,0,837.1349029541016,10437.49887084961
65,0,-120.84033966064453,10316.658531188965
66,2,263.9405822753906,10580.599113464355
67,1,0.0,10580.599113464355
68,2,0.0,10580.599113464355
69,2,0.0,10580.599113464355
70,0,-96.28482055664062,10484.314292907715
71,2,83.05535888671875,10567.369651794434
72,0,-142.95803833007812,10424.411613464355
73,2,-215.72232055664062,10208.689292907715
74,0,-314.5799102783203,9894.109382629395
75,1,0.0,9894.109382629395
76,2,0.0,9894.109382629395
77,0,283.85508728027344,10177.964469909668
78,2,7.1504364013671875,10185.114906311035
79,2,-164.0934600830078,10021.021446228027
80,1,0.0,10021.021446228027
81,1,0.0,10021.021446228027
82,1,0.0,10021.021446228027
83,1,0.0,10021.021446228027
84,2,0.0,10021.021446228027
85,2,0.0,10021.021446228027
86,1,0.0,10021.021446228027
87,1,0.0,10021.021446228027
88,0,157.38015747070312,10178.40160369873
89,1,0.0,10178.40160369873
